CMDLINE /home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/bin/python cp_rank_experimenter.py
MEM 0.500000 1729164843.7901
MEM 33.558594 1729164843.8904
MEM 54.980469 1729164843.9906
MEM 104.480469 1729164844.0908
MEM 246.480469 1729164844.1911
MEM 276.605469 1729164844.2913
MEM 329.710938 1729164844.3917
MEM 344.210938 1729164844.4920
MEM 353.960938 1729164844.5923
MEM 360.960938 1729164844.6926
MEM 369.210938 1729164844.7929
MEM 402.960938 1729164844.8931
MEM 437.710938 1729164844.9935
MEM 451.460938 1729164845.0937
MEM 471.792969 1729164845.1939
MEM 488.292969 1729164845.2943
MEM 508.167969 1729164845.3946
MEM 516.292969 1729164845.4950
MEM 543.417969 1729164845.5952
MEM 543.667969 1729164845.6955
MEM 543.667969 1729164845.7959
MEM 543.667969 1729164845.8961
MEM 543.667969 1729164845.9965
MEM 543.667969 1729164846.0968
MEM 543.667969 1729164846.1971
MEM 543.667969 1729164846.2975
MEM 543.667969 1729164846.3977
MEM 543.667969 1729164846.4980
MEM 543.667969 1729164846.5983
MEM 543.667969 1729164846.6987
MEM 546.292969 1729164846.7995
MEM 546.292969 1729164846.9004
MEM 546.292969 1729164847.0011
MEM 546.292969 1729164847.1020
MEM 546.292969 1729164847.2028
MEM 546.292969 1729164847.3036
MEM 546.292969 1729164847.4045
MEM 546.292969 1729164847.5054
MEM 546.292969 1729164847.6064
MEM 546.292969 1729164847.7073
MEM 546.292969 1729164847.8082
MEM 546.292969 1729164847.9091
MEM 546.292969 1729164848.0100
MEM 546.292969 1729164848.1108
MEM 546.292969 1729164848.2117
MEM 546.292969 1729164848.3124
MEM 546.292969 1729164848.4133
MEM 546.292969 1729164848.5141
MEM 546.292969 1729164848.6152
MEM 546.292969 1729164848.7160
MEM 546.292969 1729164848.8169
MEM 546.292969 1729164848.9177
MEM 546.292969 1729164849.0186
MEM 546.292969 1729164849.1192
MEM 546.292969 1729164849.2197
MEM 546.292969 1729164849.3205
MEM 546.292969 1729164849.4213
MEM 546.292969 1729164849.5220
MEM 546.292969 1729164849.6229
MEM 546.292969 1729164849.7235
MEM 546.667969 1729164849.8244
MEM 569.917969 1729164849.9247
MEM 589.042969 1729164850.0251
MEM 593.917969 1729164850.1254
MEM 617.667969 1729164850.2257
