,seed,num_clf_data,alpha,method,avg_set_size,coverage_rate
0,1,5,0.02,rand_aps,2.8520002365112305,0.9639999866485596
1,1,5,0.05,rand_aps,2.9280002117156982,0.9800000190734863
2,1,5,0.1,rand_aps,2.744000196456909,0.9160000085830688
3,1,5,0.2,rand_aps,2.5880000591278076,0.8479999899864197
4,1,5,0.02,aps,3.000000238418579,1.0
5,1,5,0.05,aps,2.9160001277923584,0.984000027179718
6,1,5,0.1,aps,2.9160001277923584,0.984000027179718
7,1,5,0.2,aps,1.9760000705718994,0.828000009059906
8,1,5,0.02,thr,2.9200000762939453,0.9919999837875366
9,1,5,0.05,thr,2.9200000762939453,0.9919999837875366
10,1,5,0.1,thr,2.7760000228881836,0.9200000166893005
11,1,5,0.2,thr,2.572000026702881,0.8399999737739563
12,1,5,0.02,ranker,2.4760000705718994,0.9760000109672546
13,1,5,0.05,ranker,1.940000057220459,0.9319999814033508
14,1,5,0.1,ranker,1.4920001029968262,0.8799999952316284
15,1,5,0.2,ranker,1.2280000448226929,0.800000011920929
16,1,10,0.02,rand_aps,2.992000102996826,1.0
17,1,10,0.05,rand_aps,2.996000051498413,1.0
18,1,10,0.1,rand_aps,2.7280001640319824,0.9679999947547913
19,1,10,0.2,rand_aps,2.4120001792907715,0.8360000252723694
20,1,10,0.02,aps,2.948000192642212,1.0
21,1,10,0.05,aps,2.948000192642212,1.0
22,1,10,0.1,aps,2.948000192642212,1.0
23,1,10,0.2,aps,2.080000162124634,0.8159999847412109
24,1,10,0.02,thr,2.7080001831054688,0.984000027179718
25,1,10,0.05,thr,2.640000104904175,0.9520000219345093
26,1,10,0.1,thr,2.640000104904175,0.9520000219345093
27,1,10,0.2,thr,2.436000108718872,0.8360000252723694
28,1,10,0.02,ranker,2.628000020980835,0.9760000109672546
29,1,10,0.05,ranker,1.7880001068115234,0.9160000085830688
30,1,10,0.1,ranker,1.6080000400543213,0.8920000195503235
31,1,10,0.2,ranker,1.28000009059906,0.7879999876022339
32,1,20,0.02,rand_aps,2.700000047683716,0.9760000109672546
33,1,20,0.05,rand_aps,2.2320001125335693,0.9399999976158142
34,1,20,0.1,rand_aps,1.8720000982284546,0.843999981880188
35,1,20,0.2,rand_aps,1.412000060081482,0.7440000176429749
36,1,20,0.02,aps,2.9160001277923584,0.9919999837875366
37,1,20,0.05,aps,2.9160001277923584,0.9919999837875366
38,1,20,0.1,aps,2.188000202178955,0.8799999952316284
39,1,20,0.2,aps,1.6800000667572021,0.7680000066757202
40,1,20,0.02,thr,2.7080001831054688,0.9800000190734863
